Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Alabaster Police Dept,AL,12,30923.0,49.0,0,2.0,6,41,683.0,65,585.0,33.0,158.5,0.0,6.5,19.4,132.6,2208.7,210.2,1891.8,106.7,alabaster,"alabaster,AL",16000US0100820
Albertville Police Dept,AL,3,21507.0,2.0,0,1.0,0,1,69.0,24,42.0,3.0,,,,,,,,,,albertville,"albertville,AL",16000US0100988
Anniston Police Dept,AL,12,23051.0,504.0,5,14.0,92,393,2484.0,912,1501.0,71.0,2186.5,21.7,60.7,399.1,1704.9,10776.1,3956.4,6511.6,308.0,anniston,"anniston,AL",16000US0101852
Athens Police Dept,AL,12,22681.0,31.0,1,1.0,14,15,850.0,166,666.0,18.0,136.7,4.4,4.4,61.7,66.1,3747.6,731.9,2936.4,79.4,athens,"athens,AL",16000US0102956
Auburn Police Dept,AL,12,54785.0,132.0,3,13.0,25,91,1919.0,418,1450.0,51.0,240.9,5.5,23.7,45.6,166.1,3502.8,763.0,2646.7,93.1,auburn,"auburn,AL",16000US0103076
Baldwin County Sheriff Deptartment,AL,12,,130.0,3,9.0,27,91,870.0,317,496.0,57.0,,,,,,,,,,baldwin county,"baldwin county,AL",05000US01003
Bessemer Police Dept,AL,12,27585.0,582.0,4,20.0,164,394,3329.0,873,2218.0,238.0,2109.8,14.5,72.5,594.5,1428.3,12068.2,3164.8,8040.6,862.8,bessemer,"bessemer,AL",16000US0105980
Birmingham Police Dept,AL,12,213266.0,3237.0,67,152.0,983,2035,14788.0,4704,9042.0,1042.0,1517.8,31.4,71.3,460.9,954.2,6934.1,2205.7,4239.8,488.6,birmingham,"birmingham,AL",16000US0107000
Blount County Sheriff Department,AL,12,,79.0,1,8.0,6,64,959.0,329,573.0,57.0,,,,,,,,,,blount county,"blount county,AL",05000US01009
Calhoun County Sheriff Department,AL,12,,22.0,0,8.0,3,11,791.0,322,468.0,1.0,,,,,,,,,,calhoun county,"calhoun county,AL",05000US01015
Chilton County Sheriff Department,AL,12,,78.0,0,6.0,5,67,599.0,234,315.0,50.0,,,,,,,,,,chilton county,"chilton county,AL",05000US01021
Cullman County Sheriff Department,AL,12,,146.0,1,9.0,3,133,1165.0,359,739.0,67.0,,,,,,,,,,cullman county,"cullman county,AL",05000US01043
Daphne Police Dept,AL,12,22198.0,40.0,1,4.0,2,33,514.0,77,421.0,16.0,180.2,4.5,18.0,9.0,148.7,2315.5,346.9,1896.6,72.1,daphne,"daphne,AL",16000US0119648
Dekalb County Sheriff Department,AL,12,,211.0,0,13.0,4,194,937.0,390,471.0,76.0,,,,,,,,,,dekalb county,"dekalb county,AL",05000US01049
Decatur Police Dept,AL,12,56126.0,240.0,2,9.0,80,149,2913.0,821,1964.0,128.0,427.6,3.6,16.0,142.5,265.5,5190.1,1462.8,3499.3,228.1,decatur,"decatur,AL",16000US0120104
Dothan Police Dept,AL,12,66275.0,319.0,5,30.0,100,184,2934.0,886,1918.0,130.0,481.3,7.5,45.3,150.9,277.6,4427.0,1336.9,2894.0,196.2,dothan,"dothan,AL",16000US0121184
Elmore County Sheriff Department,AL,12,,52.0,3,13.0,10,26,812.0,339,428.0,45.0,,,,,,,,,,elmore county,"elmore county,AL",05000US01051
Enterprise Police Dept,AL,12,26971.0,110.0,2,4.0,12,92,861.0,177,631.0,53.0,407.8,7.4,14.8,44.5,341.1,3192.3,656.3,2339.5,196.5,enterprise,"enterprise,AL",16000US0124184
Etowah County Sheriff Department,AL,12,,109.0,1,9.0,2,97,598.0,226,324.0,48.0,,,,,,,,,,etowah county,"etowah county,AL",05000US01055
Florence Police Dept,AL,12,39512.0,165.0,2,19.0,45,99,1740.0,454,1223.0,63.0,417.6,5.1,48.1,113.9,250.6,4403.7,1149.0,3095.3,159.4,florence,"florence,AL",16000US0126896
Gadsden Police Dept,AL,12,36961.0,372.0,1,33.0,113,225,3000.0,835,1969.0,196.0,1006.5,2.7,89.3,305.7,608.7,8116.7,2259.1,5327.2,530.3,gadsden,"gadsden,AL",16000US0128696
Homewood Police Dept,AL,11,25284.0,50.0,0,4.0,23,23,1095.0,188,860.0,47.0,,,,,,,,,,homewood,"homewood,AL",16000US0135800
Hoover Police Dept,AL,12,82332.0,86.0,2,13.0,46,25,2180.0,393,1702.0,85.0,104.5,2.4,15.8,55.9,30.4,2647.8,477.3,2067.2,103.2,hoover,"hoover,AL",16000US0135896
Houston County Sheriff Department,AL,12,,92.0,2,12.0,9,69,625.0,177,403.0,45.0,,,,,,,,,,houston county,"houston county,AL",05000US01069
Huntsville Police Dept,AL,12,183691.0,1696.0,14,72.0,456,1154,9261.0,2165,6386.0,710.0,923.3,7.6,39.2,248.2,628.2,5041.6,1178.6,3476.5,386.5,huntsville,"huntsville,AL",16000US0137000
Jackson County Sheriff Department,AL,12,,107.0,0,9.0,1,97,707.0,306,337.0,64.0,,,,,,,,,,jackson county,"jackson county,AL",05000US01071
Jefferson County Sheriff Department,AL,12,,676.0,4,49.0,196,427,3670.0,2035,1550.0,85.0,,,,,,,,,,jefferson county,"jefferson county,AL",05000US01073
Lauderdale County Sheriff Department,AL,12,,59.0,1,5.0,5,48,371.0,118,225.0,28.0,,,,,,,,,,lauderdale county,"lauderdale county,AL",05000US01077
Lawrence County Sheriff Department,AL,12,,83.0,0,4.0,3,76,479.0,169,273.0,37.0,,,,,,,,,,lawrence county,"lawrence county,AL",05000US01079
Lee County Sheriff Department,AL,7,,1.0,0,0.0,0,1,74.0,10,64.0,0.0,,,,,,,,,,lee county,"lee county,AL",05000US01081
Limestone County Sheriff Department,AL,12,,79.0,3,0.0,4,72,544.0,185,331.0,28.0,,,,,,,,,,limestone county,"limestone county,AL",05000US01083
Madison County Sheriff Department,AL,12,,286.0,4,30.0,45,207,2185.0,795,1232.0,158.0,,,,,,,,,,madison county,"madison county,AL",05000US01089
Madison Police Dept,AL,12,43860.0,90.0,0,4.0,20,66,1068.0,219,805.0,44.0,205.2,0.0,9.1,45.6,150.5,2435.0,499.3,1835.4,100.3,madison,"madison,AL",16000US0145784
Marshall County Sheriff Department,AL,12,,62.0,1,10.0,5,46,708.0,315,357.0,36.0,,,,,,,,,,marshall county,"marshall county,AL",05000US01095
Mobile County Sheriff Department,AL,12,,231.0,6,23.0,30,172,2356.0,801,1386.0,169.0,,,,,,,,,,mobile county,"mobile county,AL",05000US01097
Mobile Police Dept,AL,12,251516.0,1314.0,32,45.0,460,777,12103.0,2796,8755.0,552.0,522.4,12.7,17.9,182.9,308.9,4812.0,1111.7,3480.9,219.5,mobile,"mobile,AL",16000US0150000
Montgomery Police Dept,AL,12,209018.0,827.0,44,41.0,459,283,12058.0,3409,7548.0,1101.0,395.7,21.1,19.6,219.6,135.4,5768.9,1631.0,3611.2,526.7,montgomery,"montgomery,AL",16000US0151000
Morgan County Sheriff Department,AL,10,,27.0,0,3.0,2,22,320.0,148,163.0,9.0,,,,,,,,,,morgan county,"morgan county,AL",05000US01103
Mountain Brook Police Dept,AL,12,20511.0,8.0,0,0.0,3,5,303.0,72,225.0,6.0,39.0,0.0,0.0,14.6,24.4,1477.3,351.0,1097.0,29.3,mountain brook,"mountain brook,AL",16000US0151696
Northport Police Dept,AL,12,23742.0,135.0,2,3.0,24,106,821.0,222,565.0,34.0,568.6,8.4,12.6,101.1,446.5,3458.0,935.1,2379.7,143.2,northport,"northport,AL",16000US0155200
Opelika Police Dept,AL,12,27201.0,207.0,5,11.0,43,148,1681.0,428,1204.0,49.0,761.0,18.4,40.4,158.1,544.1,6179.9,1573.5,4426.3,180.1,opelika,"opelika,AL",16000US0157048
Oxford Police Dept,AL,12,21306.0,76.0,1,9.0,28,38,1250.0,222,982.0,46.0,356.7,4.7,42.2,131.4,178.4,5866.9,1042.0,4609.0,215.9,oxford,"oxford,AL",16000US0157576
