usps,geoid,ansicode,placename,lsad,funcstat,aland,awater,aland_sqmi,awater_sqmi,intptlat,intptlong,name
al,0100100,2582661,abanda cdp,57,s,7764034,34284,2.998,0.013,33.091627,-85.527029,abanda
al,0100124,2403054,abbeville city,25,a,40255362,107642,15.543,0.042,31.564689,-85.259124,abbeville
al,0100460,2403063,adamsville city,25,a,65064187,29719,25.121,0.011,33.60575,-86.97465,adamsville
al,0100484,2405123,addison town,43,a,9753292,83417,3.766,0.032,34.202681,-87.178004,addison
al,0100676,2405125,akron town,43,a,1776164,13849,0.6859999999999999,0.005,32.879495,-87.741679,akron
al,0100820,2403069,alabaster city,25,a,63347015,737696,24.458,0.285,33.219442,-86.82390699999998,alabaster
al,0100988,2403074,albertville city,25,a,68731812,258708,26.538,0.1,34.26313,-86.21066,albertville
al,0101132,2403077,alexander city city,25,a,105794842,737649,40.848,0.285,32.927240000000005,-85.937122,alexander
al,0101180,2402638,alexandria cdp,57,s,28786574,33099,11.115,0.013,33.760819,-85.872008,alexandria
al,0101228,2403080,aliceville city,25,a,11819855,0,4.564,0.0,33.123686,-88.159364,aliceville
al,0101396,2405136,allgood town,43,a,2690288,1452,1.039,0.001,33.907623,-86.516109,allgood
al,0101660,2405146,altoona town,43,a,11193375,25442,4.322,0.01,34.039204,-86.305697,altoona
al,0101708,2403097,andalusia city,25,a,50909462,405912,19.656,0.157,31.309436,-86.478031,andalusia
al,0101756,2405149,anderson town,43,a,3347216,1520,1.2919999999999998,0.001,34.915675,-87.274274,anderson
al,0101852,2403101,anniston city,25,a,118209447,179314,45.64100000000001,0.069,33.67344,-85.810918,anniston
al,0102116,2403104,arab city,25,a,34154363,346373,13.187,0.134,34.332387,-86.50116700000002,arab
al,0102260,2405163,ardmore town,43,a,5289465,21830,2.042,0.008,34.987838,-86.829022,ardmore
al,0102320,2405164,argo town,43,a,27893570,150331,10.77,0.058,33.691576,-86.503766,argo
al,0102428,2405166,ariton town,43,a,13182489,0,5.09,0.0,31.597772,-85.713061,ariton
al,0102500,2405167,arley town,43,a,9740650,33994,3.761,0.013,34.076234,-87.217831,arley
al,0102836,2405172,ashford town,43,a,16269247,56699,6.282,0.022,31.185284000000006,-85.236236,ashford
al,0102860,2405173,ashland town,43,a,18986275,85046,7.331,0.033,33.269892,-85.833706,ashland
al,0102908,2403122,ashville city,25,a,49762933,487106,19.214,0.188,33.835196999999994,-86.270015,ashville
al,0102956,2403123,athens city,25,a,102349998,656309,39.518,0.253,34.779021,-86.950799,athens
al,0103004,2403129,atmore city,25,a,56596811,195366,21.852,0.075,31.127936,-87.457643,atmore
al,0103028,2403130,attalla city,25,a,18079281,0,6.98,0.0,33.986189,-86.121037,attalla
al,0103076,2403132,auburn city,25,a,152375184,2646156,58.832,1.022,32.607721999999995,-85.48954499999998,auburn
al,0103220,2405187,autaugaville town,43,a,19936284,526181,7.697,0.203,32.432563,-86.658752,autaugaville
al,0103364,2405191,avon town,43,a,6855900,53694,2.647,0.021,31.179727000000003,-85.279211,avon
al,0103508,2628577,axis cdp,57,s,10164766,28417,3.925,0.011,30.922563,-88.02185,axis
al,0103556,2405195,babbie town,43,a,29709384,302262,11.470999999999998,0.117,31.302083000000003,-86.319437,babbie
al,0103676,2405198,baileyton town,43,a,13620112,146518,5.259,0.057,34.260858,-86.608788,baileyton
al,0103724,2405200,bakerhill town,43,a,7126271,0,2.7510000000000003,0.0,31.776923,-85.295408,bakerhill
al,0103820,2582662,ballplay cdp,57,s,60774762,431589,23.465,0.16699999999999998,34.023046,-85.80148100000002,ballplay
al,0103940,2405206,banks town,43,a,5145554,0,1.987,0.0,31.813264,-85.836434,banks
al,0104660,2403825,bay minette city,25,a,44692191,196468,17.256,0.076,30.894436,-87.791306,bay minette
al,0104684,2403828,bayou la batre city,25,a,19400655,368669,7.491,0.142,30.407586,-88.263271,bayou la batre
al,0104852,2405219,bear creek town,43,a,35295458,345548,13.628,0.133,34.255481,-87.713399,bear creek
al,0104900,2405221,beatrice town,43,a,3503547,0,1.3530000000000002,0.0,31.733309,-87.209046,beatrice
al,0104948,2405225,beaverton town,43,a,11882781,0,4.588,0.0,33.935411,-88.021778,beaverton
al,0105140,2628578,belgreen cdp,57,s,3180830,15104,1.228,0.006,34.474665,-87.861685,belgreen
al,0105164,2405230,belk town,43,a,3588962,0,1.386,0.0,33.651647,-87.928609,belk
al,0105188,2628579,bellamy cdp,57,s,9780481,108299,3.776,0.042,32.463658,-88.13148100000002,bellamy
al,0105212,2632282,belle fontaine cdp,57,s,4022920,939300,1.5530000000000002,0.363,30.489492,-88.10594,belle fontaine
al,0105692,2405243,benton town,43,a,781978,89459,0.302,0.035,32.307931,-86.817546,benton
al,0105932,2405250,berry town,43,a,27884733,15029,10.765999999999998,0.006,33.666702,-87.609311,berry
al,0105980,2403864,bessemer city,25,a,104802270,439841,40.464,0.17,33.370789,-86.97159599999998,bessemer
al,0106460,2405265,billingsley town,43,a,3383297,3909,1.306,0.002,32.66522,-86.706673,billingsley
al,0107000,2403868,birmingham city,25,a,378203594,6591002,146.025,2.545,33.527444,-86.799047,birmingham
al,0107120,2405270,black town,43,a,7980188,0,3.0810000000000004,0.0,31.010249,-85.742791,black
al,0107456,2405280,blountsville town,43,a,14039365,179778,5.421,0.069,34.075728000000005,-86.58372800000002,blountsville
al,0107588,2402696,blue ridge cdp,57,s,20110630,229678,7.765,0.08900000000000001,32.4989,-86.182436,blue ridge
al,0107672,2405286,blue springs town,43,a,7500883,0,2.8960000000000004,0.0,31.663516,-85.50352600000002,blue springs
al,0107912,2403886,boaz city,25,a,37683452,161880,14.55,0.063,34.199020000000004,-86.155151,boaz
al,0108104,2405297,boligee town,43,a,10231296,36323,3.95,0.014,32.7681,-88.02857900000002,boligee
al,0108248,2405301,bon air town,43,a,3436489,15386,1.327,0.006,33.259370000000004,-86.327148,bon air
al,0108680,2628580,boykin cdp,57,s,6888209,30520,2.66,0.012,32.068375,-87.29434300000001,boykin
al,0109016,2405315,brantley town,43,a,8047471,130826,3.107,0.051,31.581992,-86.256784,brantley
al,0109064,2582663,brantleyville cdp,57,s,5688362,26749,2.196,0.01,33.219303000000004,-86.882522,brantleyville
al,0109136,2403918,brent city,25,a,22739428,77911,8.78,0.03,32.944893,-87.172088,brent
al,0109208,2403921,brewton city,25,a,29015327,609954,11.203,0.236,31.109175,-87.076583,brewton
al,0109328,2403924,bridgeport city,25,a,11210021,334212,4.328,0.129,34.949312,-85.723765,bridgeport
al,0109400,2403925,brighton city,25,a,3673769,0,1.418,0.0,33.439229,-86.945385,brighton
al,0109424,2405321,brilliant town,43,a,27687369,0,10.69,0.0,34.025353,-87.769145,brilliant
al,0109457,2582664,bristow cove cdp,57,s,28083738,0,10.843,0.0,34.109216,-86.240993,bristow cove
al,0109500,2403203,brook highland cdp,57,s,7267721,125104,2.806,0.048,33.442199,-86.686674,brook highland
al,0109736,2405331,brookside town,43,a,16588160,27676,6.405,0.011,33.636965999999994,-86.89608,brookside
al,0109808,2405333,brookwood town,43,a,21671568,242091,8.367,0.093,33.239844,-87.33149399999998,brookwood
al,0109880,2582666,broomtown cdp,57,s,12156602,0,4.694,0.0,34.365728000000004,-85.532112,broomtown
al,0110240,2403943,brundidge city,25,a,25241241,83710,9.746,0.032,31.717639,-85.81755,brundidge
al,0110456,2628581,bucks cdp,57,s,1003273,92976,0.387,0.036000000000000004,31.016881,-88.026385,bucks
al,0111032,2405351,butler town,43,a,14419994,0,5.568,0.0,32.095113,-88.21396999999997,butler
al,0111416,2403965,calera city,25,a,62396286,696699,24.091,0.269,33.122319,-86.745644,calera
al,0111488,2628582,calvert cdp,57,s,8879545,48801,3.428,0.019,31.15447,-88.01046,calvert
al,0111512,2403975,camden city,25,a,10836797,34892,4.184,0.013,31.998493,-87.28895,camden
al,0111680,2405370,camp hill town,43,a,23283459,256575,8.99,0.099,32.797327,-85.655833,camp hill
al,0112016,2403992,carbon hill city,25,a,14245474,221465,5.5,0.086,33.894991,-87.52207800000002,carbon hill
al,0112040,2405377,cardiff town,43,a,649165,0,0.251,0.0,33.647188,-86.930557,cardiff
al,0112070,2582667,carlisle-rockledge cdp,57,s,41929654,12741,16.189,0.005,34.114451,-86.124073,carlisle-rockledge
al,0112112,2628583,carlton cdp,57,s,11706473,32354,4.52,0.012,31.348571000000003,-87.835666,carlton
al,0112160,2405380,carolina town,43,a,2871453,20504,1.109,0.008,31.23415,-86.521001,carolina
al,0112304,2405384,carrollton town,43,a,5331435,59271,2.0580000000000003,0.023,33.261903000000004,-88.09507099999998,carrollton
al,0112496,2406236,castleberry town,43,a,4431204,48957,1.711,0.019,31.299678000000004,-87.029129,castleberry
al,0112544,2628584,catherine cdp,57,s,5944728,0,2.295,0.0,32.186170000000004,-87.469978,catherine
al,0112760,2406240,cedar bluff town,43,a,13174609,152247,5.087,0.059,34.221422,-85.588565,cedar bluff
al,0113264,2404020,center point city,25,a,16068176,21221,6.204,0.008,33.643903,-86.684567,center point
al,0113648,2404025,centre city,25,a,29628798,241373,11.44,0.093,34.155363,-85.668842,centre
al,0113672,2404026,centreville city,25,a,24478657,378533,9.451,0.146,32.958798,-87.132305,centreville
al,0114008,2406259,chatom town,43,a,27770887,0,10.722,0.0,31.469145,-88.24601899999998,chatom
al,0114104,2404037,chelsea city,25,a,56430275,975465,21.788,0.377,33.326887,-86.62951899999999,chelsea
al,0114152,2406262,cherokee town,43,a,5740564,704,2.216,0.0,34.7577,-87.96558900000002,cherokee
al,0114392,2404045,chickasaw city,25,a,10894942,909164,4.207,0.35100000000000003,30.77145,-88.079697,chickasaw
al,0114464,2404048,childersburg city,25,a,31919336,652240,12.324000000000002,0.252,33.291877,-86.340599,childersburg
al,0114728,2582668,choccolocco cdp,57,s,30159923,239225,11.645,0.092,33.674346,-85.710918,choccolocco
al,0114968,2628585,chunchula cdp,57,s,4671130,21008,1.804,0.008,30.927194,-88.2082,chunchula
al,0115064,2404051,citronelle city,25,a,66930189,713077,25.842,0.275,31.097266,-88.249839,citronelle
al,0115136,2404052,clanton city,25,a,56812440,353342,21.935,0.136,32.841704,-86.623008,clanton
al,0115256,2404063,clay city,25,a,25732610,159780,9.935,0.062,33.696582,-86.608166,clay
al,0115304,2406273,clayhatchee town,43,a,7039401,0,2.718,0.0,31.236925,-85.721478,clayhatchee
al,0115376,2406274,clayton town,43,a,17293354,0,6.6770000000000005,0.0,31.882414,-85.460541,clayton
al,0115472,2406278,cleveland town,43,a,20308408,131765,7.841,0.051,34.002179,-86.561352,cleveland
al,0115640,2404082,clio city,25,a,26070325,23254,10.066,0.009000000000000001,31.708516,-85.611039,clio
al,0116000,2406286,coaling town,43,a,12986145,178716,5.0139999999999985,0.069,33.169901,-87.349887,coaling
al,0116080,2582669,coats bend cdp,57,s,22144514,0,8.55,0.0,34.077426,-85.874184,coats bend
al,0116240,2406288,coffee springs town,43,a,2030176,29256,0.784,0.011,31.165836,-85.910898,coffee springs
al,0116264,2406289,coffeeville town,43,a,11706601,0,4.52,0.0,31.766564,-88.086049,coffeeville
al,0116312,2406291,coker town,43,a,5271311,23040,2.035,0.009000000000000001,33.243752,-87.681329,coker
al,0116600,2406296,collinsville town,43,a,10141847,45133,3.916,0.017,34.262193,-85.867868,collinsville
al,0116684,2406297,colony town,43,a,5832129,22734,2.252,0.009000000000000001,33.941185,-86.901864,colony
al,0116744,2406298,columbia town,43,a,10181709,170212,3.931,0.066,31.295351,-85.110202,columbia
al,0116768,2404109,columbiana city,25,a,44808571,261036,17.301,0.101,33.191452000000005,-86.61561800000001,columbiana
al,0116936,2402792,concord cdp,57,s,8716229,44246,3.365,0.017,33.461986,-87.040435,concord
al,0117176,2406310,coosada town,43,a,18328247,643867,7.077000000000001,0.249,32.495394,-86.326543,coosada
al,0117368,2404130,cordova city,25,a,15091309,292347,5.827000000000001,0.113,33.761292,-87.201099,cordova
al,0117704,2727439,cottondale cdp,57,s,8979769,46443,3.467,0.018000000000000002,33.193047,-87.454861,cottondale
al,0117824,2406321,cottonwood town,43,a,14950836,67217,5.773,0.026,31.054033,-85.29956,cottonwood
al,0117968,2406322,county line town,43,a,2500019,0,0.965,0.0,33.820895,-86.71973,county line
al,0118040,2406323,courtland town,43,a,7646446,64056,2.952,0.025,34.669946,-87.327892,courtland
al,0118088,2406329,cowarts town,43,a,19248770,130346,7.432,0.05,31.206248,-85.30976899999997,cowarts
al,0118304,2404149,creola city,25,a,36878729,2374527,14.239,0.917,30.874343,-88.009442,creola
al,0118856,2406341,crossville town,43,a,21676691,1995,8.369,0.001,34.285486,-85.998756,crossville
al,0118952,2406344,cuba town,43,a,10520892,18721,4.062,0.006999999999999999,32.440733,-88.374798,cuba
al,0118976,2404166,cullman city,25,a,50147247,3094444,19.362,1.195,34.179337,-86.840793,cullman
al,0119024,2628586,cullomburg cdp,57,s,13842493,0,5.345,0.0,31.713061,-88.291774,cullomburg
al,0119216,2424934,cusseta town,43,a,6783080,0,2.619,0.0,32.787654,-85.305748,cusseta
al,0119336,2404175,dadeville city,25,a,41287908,219837,15.941,0.085,32.826114000000004,-85.776201,dadeville
al,0119360,2404178,daleville city,25,a,36490054,0,14.089,0.0,31.291397,-85.71141800000002,daleville
al,0119648,2404186,daphne city,25,a,42580935,3179887,16.441,1.228,30.625545,-87.895979,daphne
al,0119744,2406357,dauphin island town,43,a,16204184,413605258,6.256,159.694,30.250913,-88.17126800000003,dauphin island
al,0119816,2406360,daviston town,43,a,23658278,77680,9.135,0.03,33.056839000000004,-85.63432900000002,daviston
al,0119912,2406361,dayton town,43,a,2585204,0,0.998,0.0,32.350958,-87.641573,dayton
al,0120008,2406364,deatsville town,43,a,12075453,81173,4.662,0.031,32.588972,-86.388984,deatsville
al,0120104,2404206,decatur city,25,a,140137085,17594719,54.107,6.792999999999998,34.573321,-86.992135,decatur
al,0120152,2628587,deer park cdp,57,s,8094329,161688,3.125,0.062,31.218369,-88.328023,deer park
al,0120272,2582670,delta cdp,57,s,20167124,272009,7.787000000000001,0.105,33.440524,-85.675905,delta
al,0120296,2404214,demopolis city,25,a,45941150,837164,17.738,0.32299999999999995,32.499938,-87.82542600000002,demopolis
al,0120392,2406377,detroit town,43,a,3434686,0,1.3259999999999998,0.0,34.027379,-88.167831,detroit
al,0120955,2406384,dodge city town,43,a,8913021,26837,3.4410000000000003,0.01,34.045414,-86.88266999999998,dodge
al,0121136,2404235,dora city,25,a,19450626,22559,7.51,0.009000000000000001,33.729703,-87.083874,dora
al,0121184,2404238,dothan city,25,a,231582635,876798,89.415,0.339,31.233698,-85.406823,dothan
al,0121280,2406389,double springs town,43,a,10643760,57640,4.11,0.022,34.151340000000005,-87.403488,double springs
al,0121328,2406390,douglas town,43,a,8817652,21418,3.405,0.008,34.168258,-86.323386,douglas
al,0121448,2406394,dozier town,43,a,7660285,30819,2.958,0.012,31.505407,-86.369235,dozier
al,0121890,2582671,dunnavant cdp,57,s,45968936,2603146,17.749000000000006,1.005,33.508672999999995,-86.529843,dunnavant
