b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,place
211933.0,50047.0,154377.0,1847.0,427.0,391.0,997.0,1661.0,2869.0,3165.0,1109.0,19361.0,2982.0,11887.0,4057.0,10695.0,2839.0,2123.0,1475.0,31152.0,birmingham
67296.0,42739.0,21638.0,421.0,13.0,109.0,281.0,240.0,398.0,343.0,331.0,6876.0,1432.0,3133.0,1954.0,3397.0,1106.0,440.0,169.0,41082.0,dothan
186416.0,117148.0,58720.0,328.0,94.0,406.0,803.0,1139.0,1376.0,1424.0,531.0,11726.0,3133.0,9077.0,3792.0,16641.0,7661.0,1481.0,1264.0,48199.0,huntsville
194879.0,88827.0,99171.0,764.0,432.0,499.0,782.0,1091.0,2458.0,2579.0,981.0,16868.0,3561.0,10598.0,5078.0,10186.0,2733.0,1579.0,904.0,36150.0,mobile
201335.0,72867.0,118085.0,686.0,567.0,738.0,888.0,1008.0,1357.0,1408.0,1727.0,16361.0,2443.0,9075.0,3662.0,10417.0,4202.0,1966.0,1492.0,43103.0,montgomery
95334.0,46629.0,43538.0,63.0,0.0,62.0,322.0,520.0,785.0,1065.0,725.0,7627.0,510.0,3507.0,1526.0,4112.0,2032.0,981.0,771.0,39236.0,tuscaloosa
300950.0,197183.0,17842.0,1158.0,69.0,469.0,873.0,308.0,1364.0,1957.0,1214.0,26233.0,5382.0,20563.0,7303.0,18623.0,7473.0,1999.0,1296.0,79045.0,anchorage
6626624.0,5233466.0,277973.0,26472.0,19554.0,44239.0,49145.0,34364.0,37341.0,54920.0,46034.0,520767.0,146894.0,379677.0,173589.0,368789.0,149179.0,42976.0,33035.0,48510.0,flagstaff
203030.0,184282.0,,1083.0,406.0,1558.0,1660.0,1255.0,2844.0,3002.0,1886.0,27146.0,6597.0,14475.0,5239.0,4964.0,2015.0,398.0,575.0,39058.0,mohave
1513350.0,1134127.0,104192.0,6825.0,5978.0,15424.0,16995.0,9830.0,10140.0,12598.0,12061.0,112833.0,27960.0,75061.0,35422.0,79996.0,28720.0,10106.0,5109.0,46601.0,phoenix
526141.0,379631.0,27614.0,2025.0,1885.0,2642.0,3120.0,3009.0,3413.0,5484.0,3067.0,38757.0,10812.0,33053.0,12159.0,23038.0,9685.0,3350.0,2828.0,35720.0,tucson
91915.0,63405.0,,570.0,655.0,950.0,847.0,216.0,553.0,954.0,1189.0,7888.0,1954.0,5480.0,1726.0,2493.0,957.0,403.0,442.0,44545.0,yuma
78967.0,61939.0,,313.0,397.0,0.0,67.0,95.0,70.0,282.0,158.0,3578.0,868.0,4077.0,1021.0,4648.0,2583.0,1242.0,759.0,37369.0,fayetteville
87654.0,68212.0,,463.0,789.0,1284.0,940.0,368.0,509.0,934.0,334.0,8044.0,677.0,4977.0,2073.0,3356.0,872.0,925.0,212.0,34274.0,fortsmith
71547.0,54265.0,,259.0,249.0,272.0,262.0,62.0,165.0,709.0,461.0,5207.0,1065.0,3087.0,1585.0,4319.0,976.0,83.0,711.0,39483.0,jonesboro
197357.0,102255.0,81757.0,896.0,98.0,256.0,146.0,1298.0,981.0,2054.0,624.0,17990.0,3094.0,10750.0,2581.0,14069.0,5336.0,2985.0,1623.0,44546.0,littlerock
