Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Alabaster Police Dept,AL,12,30923.0,49.0,0,2.0,6,41,683.0,65,585.0,33.0,158.5,0.0,6.5,19.4,132.6,2208.7,210.2,1891.8,106.7,alabaster,"alabaster,AL",04000US01
Albertville Police Dept,AL,3,21507.0,2.0,0,1.0,0,1,69.0,24,42.0,3.0,,,,,,,,,,albertville,"albertville,AL",04000US01
Alexander City Police Dept,AL,12,14936.0,95.0,2,2.0,15,76,688.0,125,536.0,27.0,636.0,13.4,13.4,100.4,508.8,4606.3,836.9,3588.6,180.8,alexander city,"alexander city,AL",04000US01
Anniston Police Dept,AL,12,23051.0,504.0,5,14.0,92,393,2484.0,912,1501.0,71.0,2186.5,21.7,60.7,399.1,1704.9,10776.1,3956.4,6511.6,308.0,anniston,"anniston,AL",04000US01
Athens Police Dept,AL,12,22681.0,31.0,1,1.0,14,15,850.0,166,666.0,18.0,136.7,4.4,4.4,61.7,66.1,3747.6,731.9,2936.4,79.4,athens,"athens,AL",04000US01
Atmore Police Dept,AL,12,10188.0,63.0,1,2.0,7,53,343.0,82,242.0,19.0,618.4,9.8,19.6,68.7,520.2,3366.7,804.9,2375.3,186.5,atmore,"atmore,AL",04000US01
Auburn Police Dept,AL,12,54785.0,132.0,3,13.0,25,91,1919.0,418,1450.0,51.0,240.9,5.5,23.7,45.6,166.1,3502.8,763.0,2646.7,93.1,auburn,"auburn,AL",04000US01
Baldwin County Sheriff Deptartment,AL,12,,130.0,3,9.0,27,91,870.0,317,496.0,57.0,,,,,,,,,,baldwin county,"baldwin county,AL",05000US01003
Bessemer Police Dept,AL,12,27585.0,582.0,4,20.0,164,394,3329.0,873,2218.0,238.0,2109.8,14.5,72.5,594.5,1428.3,12068.2,3164.8,8040.6,862.8,bessemer,"bessemer,AL",04000US01
Birmingham Police Dept,AL,12,213266.0,3237.0,67,152.0,983,2035,14788.0,4704,9042.0,1042.0,1517.8,31.4,71.3,460.9,954.2,6934.1,2205.7,4239.8,488.6,birmingham,"birmingham,AL",04000US01
Blount County Sheriff Department,AL,12,,79.0,1,8.0,6,64,959.0,329,573.0,57.0,,,,,,,,,,blount county,"blount county,AL",05000US01009
Calera Police Dept,AL,3,11838.0,9.0,0,0.0,1,8,95.0,35,58.0,2.0,,,,,,,,,,calera,"calera,AL",04000US01
