Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Baldwin County Sheriff Deptartment,AL,12,,130.0,3,9.0,27,91,870.0,317,496.0,57.0,,,,,,,,,,baldwin county,"baldwin county,AL",05000US01003
Blount County Sheriff Department,AL,12,,79.0,1,8.0,6,64,959.0,329,573.0,57.0,,,,,,,,,,blount county,"blount county,AL",05000US01009
Calhoun County Sheriff Department,AL,12,,22.0,0,8.0,3,11,791.0,322,468.0,1.0,,,,,,,,,,calhoun county,"calhoun county,AL",05000US01015
Chilton County Sheriff Department,AL,12,,78.0,0,6.0,5,67,599.0,234,315.0,50.0,,,,,,,,,,chilton county,"chilton county,AL",05000US01021
Dekalb County Sheriff Department,AL,12,,211.0,0,13.0,4,194,937.0,390,471.0,76.0,,,,,,,,,,dekalb county,"dekalb county,AL",05000US01049
Elmore County Sheriff Department,AL,12,,52.0,3,13.0,10,26,812.0,339,428.0,45.0,,,,,,,,,,elmore county,"elmore county,AL",05000US01051
Etowah County Sheriff Department,AL,12,,109.0,1,9.0,2,97,598.0,226,324.0,48.0,,,,,,,,,,etowah county,"etowah county,AL",05000US01055
Houston County Sheriff Department,AL,12,,92.0,2,12.0,9,69,625.0,177,403.0,45.0,,,,,,,,,,houston county,"houston county,AL",05000US01069
Jackson County Sheriff Department,AL,12,,107.0,0,9.0,1,97,707.0,306,337.0,64.0,,,,,,,,,,jackson county,"jackson county,AL",05000US01071
Jefferson County Sheriff Department,AL,12,,676.0,4,49.0,196,427,3670.0,2035,1550.0,85.0,,,,,,,,,,jefferson county,"jefferson county,AL",05000US01073
Lauderdale County Sheriff Department,AL,12,,59.0,1,5.0,5,48,371.0,118,225.0,28.0,,,,,,,,,,lauderdale county,"lauderdale county,AL",05000US01077
Lawrence County Sheriff Department,AL,12,,83.0,0,4.0,3,76,479.0,169,273.0,37.0,,,,,,,,,,lawrence county,"lawrence county,AL",05000US01079
Lee County Sheriff Department,AL,7,,1.0,0,0.0,0,1,74.0,10,64.0,0.0,,,,,,,,,,lee county,"lee county,AL",05000US01081
Limestone County Sheriff Department,AL,12,,79.0,3,0.0,4,72,544.0,185,331.0,28.0,,,,,,,,,,limestone county,"limestone county,AL",05000US01083
Marshall County Sheriff Department,AL,12,,62.0,1,10.0,5,46,708.0,315,357.0,36.0,,,,,,,,,,marshall county,"marshall county,AL",05000US01095
