county,county_fips,place,place_fips,state_fips,Unnamed: 0,Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Extracted Name,name
alachua county,001,,,12,0,Alachua County Sheriff Department,FL,12,,583.0,4,56.0,69,454,2403.0,740,1576.0,87,,,,,,,,,,alachua county,"alachua county, fl"
alachua county,001,alachua city,375,12,1,Alachua Police Dept,FL,12,9264.0,40.0,0,3.0,4,33,231.0,66,159.0,6,431.8,0.0,32.4,43.2,356.2,2493.5,712.4,1716.3,64.8,alachua,"alachua, fl"
,,altamonte springs city,950,12,2,Altamonte Springs Police Dept,FL,12,42296.0,142.0,1,9.0,35,97,1293.0,181,1042.0,70,335.7,2.4,21.3,82.8,229.3,3057.0,427.9,2463.6,165.5,altamonte springs,"altamonte springs, fl"
,,altha town,1000,12,3,Altha Police Dept,FL,12,548.0,0.0,0,0.0,0,0,4.0,2,2.0,0,0.0,0.0,0.0,0.0,0.0,729.9,365.0,365.0,0.0,altha,"altha, fl"
,,,,12,4,Ansonia Police Dept,FL,12,19271.0,29.0,0,4.0,15,10,455.0,80,317.0,58,150.5,0.0,20.8,77.8,51.9,2361.1,415.1,1645.0,301.0,ansonia,"ansonia, fl"
,,apalachicola city,1625,12,5,Apalachicola Police Dept,FL,12,2273.0,3.0,0,1.0,0,2,24.0,15,8.0,1,132.0,0.0,44.0,0.0,88.0,1055.9,659.9,352.0,44.0,apalachicola,"apalachicola, fl"
,,apopka city,1700,12,6,Apopka Police Dept,FL,12,43046.0,146.0,1,13.0,59,73,1316.0,279,977.0,60,339.2,2.3,30.2,137.1,169.6,3057.2,648.1,2269.7,139.4,apopka,"apopka, fl"
,,arcadia city,1750,12,7,Arcadia Police Dept,FL,12,7747.0,65.0,1,4.0,16,44,194.0,85,106.0,3,839.0,12.9,51.6,206.5,568.0,2504.2,1097.2,1368.3,38.7,arcadia,"arcadia, fl"
,,astatula town,2250,12,8,Astatula Police Dept,FL,12,1861.0,3.0,0,1.0,0,2,23.0,11,9.0,3,161.2,0.0,53.7,0.0,107.5,1235.9,591.1,483.6,161.2,astatula,"astatula, fl"
,,atlantic beach city,2400,12,9,Atlantic Beach Police Dept,FL,12,12925.0,55.0,0,2.0,12,41,312.0,62,245.0,5,425.5,0.0,15.5,92.8,317.2,2413.9,479.7,1895.6,38.7,atlantic beach,"atlantic beach, fl"
