placefp,countyfp
00100,017
00124,067
00460,073
00484,133
00676,065
00820,117
00988,095
01132,123
01180,015
01228,107
01396,009
01660,055
01660,009
01708,039
01756,077
01852,015
02116,043
02116,095
02260,083
02320,115
02320,073
02428,045
02500,133
02836,069
02860,027
02908,115
02956,083
03004,053
03028,055
03076,081
03220,001
03364,069
03508,097
03556,039
03676,043
03724,005
03820,055
03940,109
04660,003
04684,097
04852,093
04900,099
04948,075
05140,059
05164,057
05188,119
05212,097
05692,085
05932,057
05980,073
06460,001
07000,117
07000,073
07120,061
07456,009
07588,051
07672,005
07912,055
07912,095
08104,063
08248,121
08680,131
09016,041
09064,117
09136,007
09208,053
09328,071
09400,073
09424,093
09457,055
09500,117
09736,073
09808,125
09880,019
10240,109
10456,097
11032,023
11416,117
11416,021
11488,129
11488,097
11512,131
11680,123
12016,127
12040,073
12070,055
12112,025
12160,039
12304,107
12496,035
12544,131
12760,019
13264,073
13648,019
13672,007
14008,129
14104,117
14152,033
14392,097
14464,121
14728,015
14968,097
15064,097
15136,021
15256,073
15304,045
15376,005
15472,009
15640,005
16000,125
16080,055
16240,061
16264,025
16312,125
16600,019
16600,049
16684,043
16744,069
16768,117
16936,073
17176,051
17368,127
17824,069
17968,009
17968,073
18040,079
18088,069
18304,097
18856,049
18952,119
18976,043
19024,129
19024,023
19216,017
19336,123
19360,045
19648,003
19744,097
19816,123
19912,091
20008,051
20104,083
20104,103
20152,129
20272,027
20296,091
20392,075
20955,043
21136,127
21184,069
21184,045
21184,067
21280,133
21328,095
21448,041
21890,117
21952,071
22216,053
22504,043
22816,051
23032,073
23176,029
23224,055
23296,031
23320,003
23344,127
23488,083
23656,051
23872,119
23880,051
24184,045
24184,031
24256,119
24472,107
24568,005
24616,061
24664,063
24688,103
24808,035
24880,099
25120,073
25216,129
25240,003
25384,043
25648,103
25816,091
25840,057
25864,121
26152,011
26200,017
26824,053
26848,039
26896,077
26992,003
27088,073
27376,063
27520,085
27616,049
27640,045
28024,087
28120,017
28312,099
28408,129
28432,029
28504,025
28552,073
28672,049
28696,055
28768,119
28816,055
28936,039
29032,009
29032,043
29056,073
29296,019
29392,119
29464,061
29560,013
29608,049
29704,023
29944,093
29944,057
29992,055
29992,015
30160,041
30448,123
30496,043
30640,037
30736,107
30760,069
30808,085
30880,109
31000,111
31024,097
31096,095
31348,073
31384,073
31720,065
31912,013
32056,045
32080,025
32224,093
32248,097
32272,003
32416,095
32440,089
32536,093
32536,057
32560,093
32584,123
32656,067
32704,133
32704,093
32848,093
32896,049
32968,043
33256,117
33424,061
33448,103
33472,089
33544,079
33640,009
33712,085
33808,089
33856,067
33904,039
33976,029
34024,117
34024,073
34096,049
34480,009
34490,117
34816,079
34984,037
35130,129
35152,015
35200,059
35392,055
35512,027
35536,029
35560,043
35632,071
35704,125
35752,051
35800,073
35896,117
35896,073
36088,039
36448,073
36592,017
37000,083
37000,089
37096,113
37264,071
37312,049
37465,117
37864,073
38032,055
38152,025
38248,123
38272,015
38416,127
38608,021
39088,043
39088,095
39280,127
39472,037
39520,075
39784,077
39856,073
40072,069
40096,031
40648,113
40672,017
40888,049
40928,125
41296,017
41368,071
41968,115
41968,117
41968,073
42016,019
42160,033
42304,129
42352,083
42472,045
42640,077
42808,039
43120,121
