Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid,subdomain,cost_exists,age_exists,cup_exists,county_fips,place_fips,state_fips,place,url,state,bls_code,unemployment,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place.1,region,counts,completeness,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
Juneau Police Dept,AK,12,32553.0,115.0,0,9.0,16,90,1099.0,94,975.0,30.0,353.3,0.0,27.6,49.2,276.5,3376.0,288.8,2995.1,92.2,juneau,"juneau,AK",05000US02110,juneau,,,,110.0,,2.0,Juneau,juneau,alaska,,,32071.0,22256.0,,5.0,0.0,59.0,96.0,4.0,83.0,125.0,129.0,2610.0,894.0,2509.0,558.0,2225.0,1401.0,289.0,177.0,78547.0,05000US02110,juneau,juneau,,,,,,,,,
Mohave County Sheriff Department,AZ,12,,125.0,5,12.0,16,92,2288.0,790,1343.0,155.0,,,,,,,,,,mohave county,"mohave county,AZ",05000US04015,mohave,0.048929663608562685,0.009174311926605505,0.05504587155963303,15.0,,4.0,Mohave County,mohave,arizona,,,202102.0,178891.0,,894.0,270.0,859.0,1452.0,1522.0,2200.0,3662.0,1805.0,25032.0,6872.0,14155.0,5548.0,5640.0,2361.0,852.0,489.0,36976.0,05000US04015,mohave,mohave,327.0,0.11314984709480122,0.3172613622165454,-0.6697247706422018,1.3816615266856,166.666666666625,57.33591725434447,-0.7889908256880734,2.1962323894580305
Humboldt County Sheriff Department,CA,12,,115.0,2,10.0,31,72,1130.0,509,604.0,17.0,,,,,,,,,,humboldt county,"humboldt county,CA",05000US06023,humboldt,0.06299212598425198,0.01968503937007874,0.0610236220472441,23.0,,6.0,Humboldt County,humboldt,california,,,135061.0,111898.0,,265.0,105.0,273.0,785.0,707.0,1045.0,1291.0,926.0,12601.0,3212.0,8630.0,3935.0,7872.0,1833.0,1002.0,906.0,40997.0,05000US06023,humboldt,humboldt,508.0,0.1437007874015748,0.3781764678919471,-0.6594488188976378,1.37753506358957,255.72916666668755,80.84892045707612,-0.5629921259842521,3.0900311341787945
Imperial County Sheriff Department,CA,12,,139.0,0,6.0,12,121,791.0,352,419.0,20.0,,,,,,,,,,imperial county,"imperial county,CA",05000US06025,imperial,0.02192982456140351,0.008771929824561403,0.030701754385964914,25.0,,6.0,Imperial County,imperial,california,,,175837.0,119000.0,5400.0,2113.0,2125.0,3451.0,2242.0,2584.0,1720.0,2907.0,1812.0,13367.0,3569.0,8418.0,2858.0,4269.0,1449.0,458.0,106.0,40735.0,05000US06025,imperial,imperial,228.0,0.06140350877192983,0.3051709340983694,-0.8245614035087719,0.9999613563906724,352.0,71.55417527999327,-0.8245614035087719,1.8690411404672864
Washington Metropolitan Police Dept,DC,12,632323.0,7448.0,88,236.0,3725,3399,29264.0,3519,22196.0,3549.0,1177.9,13.9,37.3,589.1,537.5,4628.0,556.5,3510.2,561.3,washington metropolitan,"washington metropolitan,DC",04000US11,dc,0.2427699655080923,0.050411249668347036,0.16211196603873707,,,11.0,Washington D.C.,dc,district of columbia,,,618777.0,247079.0,311415.0,3090.0,1749.0,2436.0,3391.0,3530.0,3580.0,4914.0,3206.0,37139.0,5853.0,20007.0,5871.0,47186.0,31761.0,18817.0,8429.0,64610.0,04000US11,dc,dc,3769.0,0.4552931812151764,0.6710412934179754,-0.023348368267444942,2.2755943055888883,204.35027322403562,334.9778895061661,0.4075351552135845,6.419889021899136
Washington Metropolitan Police Dept,DC,12,632323.0,7448.0,88,236.0,3725,3399,29264.0,3519,22196.0,3549.0,1177.9,13.9,37.3,589.1,537.5,4628.0,556.5,3510.2,561.3,washington metropolitan,"washington metropolitan,DC",04000US11,nova,0.2274904214559387,0.07399425287356322,0.2092911877394636,,,11.0,Northern Virginia,nova,district of columbia,,,618777.0,247079.0,311415.0,3090.0,1749.0,2436.0,3391.0,3530.0,3580.0,4914.0,3206.0,37139.0,5853.0,20007.0,5871.0,47186.0,31761.0,18817.0,8429.0,64610.0,04000US11,nova,nova,4176.0,0.5107758620689655,0.7064315463159855,0.21667464878671694,2.4308384661755817,242.69424394318557,425.2280015134268,0.9909003831417624,7.34472239892426
Washington Metropolitan Police Dept,DC,12,632323.0,7448.0,88,236.0,3725,3399,29264.0,3519,22196.0,3549.0,1177.9,13.9,37.3,589.1,537.5,4628.0,556.5,3510.2,561.3,washington metropolitan,"washington metropolitan,DC",04000US11,southernmaryland,0.17492260061919504,0.028895768833849332,0.12693498452012386,,,11.0,Southern Maryland,southernmaryland,district of columbia,,,618777.0,247079.0,311415.0,3090.0,1749.0,2436.0,3391.0,3530.0,3580.0,4914.0,3206.0,37139.0,5853.0,20007.0,5871.0,47186.0,31761.0,18817.0,8429.0,64610.0,04000US11,southernmaryland,southernmaryland,1938.0,0.33075335397316824,0.5625496479452312,-0.23968008255933956,2.0655142952539434,193.3774172402572,91.56836776876328,-0.22755417956656346,4.6365113261644915
Okaloosa County Sheriff Department,FL,12,,643.0,0,52.0,60,531,3062.0,577,2359.0,126.0,,,,,,,,,,okaloosa county,"okaloosa county,FL",05000US12091,okaloosa,,,,91.0,,12.0,Okaloosa,okaloosa,florida,,,184699.0,148075.0,16406.0,317.0,135.0,326.0,703.0,573.0,1030.0,1070.0,852.0,15060.0,4319.0,11656.0,6178.0,10620.0,6550.0,1333.0,647.0,53008.0,05000US12091,okaloosa,okaloosa,,,,,,,,,
Honolulu Police Dept,HI,3,975875.0,566.0,5,40.0,206,315,7169.0,1243,5297.0,629.0,,,,,,,,,,honolulu,"honolulu,HI",05000US15003,honolulu,0.18096514745308312,0.03351206434316354,0.15951742627345844,3.0,,15.0,Honolulu,honolulu,hawaii,,,966405.0,204386.0,21563.0,3455.0,1507.0,3727.0,3221.0,2821.0,3713.0,4217.0,4613.0,89773.0,16761.0,56491.0,31771.0,64470.0,20760.0,9057.0,5220.0,70541.0,05000US15003,honolulu,honolulu,1492.0,0.3739946380697051,0.5501728232571783,-0.08109919571045576,2.1532791267114466,296.1532921810666,771.4127029837861,-0.2424039320822386,4.115462032004428
Kauai Police Department,HI,9,,154.0,0,23.0,15,116,1913.0,496,1310.0,107.0,,,,,,,,,,kauai,"kauai,HI",05000US15007,kauai,0.022222222222222227,0.022222222222222227,,7.0,,15.0,Kauai,kauai,hawaii,,,67815.0,22591.0,,204.0,196.0,310.0,248.0,182.0,169.0,409.0,312.0,7237.0,997.0,4893.0,2623.0,3803.0,1010.0,659.0,217.0,60332.0,05000US15007,kauai,kauai,180.0,0.04444444444444445,0.20665525288359446,-1.0,0.0,325.0,50.0,-0.4194444444444445,3.8629322411465674
Maui Police Department,HI,12,,411.0,5,44.0,115,247,6003.0,1067,4419.0,517.0,,,,,,,,,,maui,"maui,HI",05000US15009,maui,0.06712962962962964,0.025462962962962958,0.09027777777777778,9.0,,15.0,Maui,maui,hawaii,,,156670.0,54263.0,,451.0,275.0,880.0,619.0,497.0,1122.0,976.0,1135.0,18375.0,3132.0,9890.0,4084.0,9120.0,2476.0,980.0,334.0,61383.0,05000US15009,maui,maui,432.0,0.1828703703703704,0.3988185590189604,-0.4490740740740741,1.7782389354183132,282.2701149425862,166.2502083408771,-0.29398148148148145,4.491204178112354
La Salle County Sheriff Department,IL,12,,30.0,0,11.0,3,16,416.0,147,253.0,16.0,,,,,,,,,,la salle county,"la salle county,IL",05000US17099,lasalle,0.028571428571428567,0.020408163265306117,0.024489795918367342,99.0,,17.0,La Salle County,lasalle,illinois,,,113423.0,107418.0,2864.0,169.0,40.0,251.0,786.0,445.0,1198.0,1181.0,816.0,14786.0,3743.0,6269.0,3220.0,3862.0,1107.0,380.0,208.0,49754.0,05000US17099,lasalle,lasalle,245.0,0.07346938775510205,0.3180212322817467,-0.863265306122449,0.8746647783043261,282.14285714285717,85.04200642707612,-0.4571428571428571,3.7918700780122454
Richmond City Police Dept,IN,7,36785.0,116.0,4,30.0,32,50,1081.0,333,665.0,83.0,,,,,,,,,,richmond city,"richmond city,IN",16000US1864260,richmondin,0.03954802259887006,,0.02824858757062147,,64260.0,18.0,Richmond,richmondin,indiana,LAUCT186426000000003,9.124999999999998,36587.0,30957.0,1935.0,166.0,67.0,40.0,222.0,454.0,427.0,364.0,254.0,4547.0,668.0,1289.0,871.0,832.0,628.0,149.0,105.0,28492.0,16000US1864260,richmondin,richmondin,177.0,0.06779661016949153,0.2521097420448053,-0.7966101694915254,1.198194584339893,308.57142857142856,85.5235974119758,-1.0,0.0
Alexandria City Police Dept,LA,12,48449.0,815.0,9,14.0,142,650,3630.0,974,2472.0,184.0,1682.2,18.6,28.9,293.1,1341.6,7492.4,2010.4,5102.3,379.8,alexandria city,"alexandria city,LA",16000US2200975,alexandria,0.036842105263157884,0.018421052631578942,0.03157894736842105,,975.0,22.0,Alexandria,alexandria,louisiana,LAUCT220097500000003,6.9833333333333325,48217.0,17182.0,29399.0,468.0,23.0,206.0,696.0,289.0,439.0,520.0,163.0,4978.0,613.0,2257.0,410.0,1796.0,438.0,408.0,240.0,35001.0,16000US2200975,alexandria,alexandria,380.0,0.0868421052631579,0.3001064478092137,-0.7894736842105263,1.1838378342388407,164.64285714285714,81.7357859553913,-0.3,5.116531229317425
