subdomain,cost_exists,age_exists,cup_exists,county_fips,place_fips,state_fips,place,url,state,bls_code,unemployment,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place.1,region,counts,completeness,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
aberdeen-sd,,,,,100.0,46.0,Aberdeen,aberdeen-sd,south dakota,LAUCT460010000000003,3.441666666666667,26443.0,24230.0,,0.0,0.0,0.0,285.0,72.0,62.0,100.0,88.0,2940.0,437.0,1212.0,576.0,1469.0,202.0,210.0,88.0,47910.0,16000US4600100,aberdeen-sd,aberdeen-sd,,,,,,,,,
abilene,0.05852417302798984,0.0267175572519084,0.0623409669211196,,1000.0,48.0,Abilene,abilene,texas,LAUCT480100000000003,5.15,120027.0,96400.0,12311.0,620.0,340.0,362.0,1225.0,1263.0,1168.0,1722.0,412.0,10720.0,3060.0,6241.0,2475.0,5258.0,1571.0,701.0,572.0,41460.0,16000US4801000,abilene,abilene,786.0,0.1475826972010178,0.3891529378997773,-0.648854961832061,1.4174004955990362,223.731884058,101.60574056799321,-0.2697201017811705,4.5529887067282955
akroncanton,0.22281959378733573,0.03942652329749104,0.15232974910394265,,,39.0,Akron/Canton,akroncanton,ohio,,,11541175.0,9558840.0,1404531.0,31932.0,8467.0,17557.0,67168.0,54962.0,87784.0,109501.0,67762.0,1310105.0,245786.0,518052.0,243347.0,593388.0,223165.0,75551.0,48321.0,47030.0,04000US39,akroncanton,akroncanton,1674.0,0.4145758661887694,0.5672283200301519,-0.0902031063321386,2.2226459478581138,191.0557044980429,85.8659995961382,0.05555555555555555,5.273841962519034
albany,0.18361581920903955,0.06158192090395481,0.17062146892655367,1.0,1000.0,36.0,Albany,albany,new york,LAUCT360100000000003,7.208333333333332,97843.0,55704.0,30715.0,274.0,160.0,267.0,378.0,272.0,854.0,785.0,458.0,6701.0,1172.0,4265.0,2076.0,5715.0,2929.0,863.0,881.0,40404.0,16000US3601000,albany,albany,1770.0,0.41581920903954794,0.6707812333812481,-0.011205273069677968,2.226669829625628,225.7745299145458,192.94877483065204,0.4602636534840678,5.845829555250499
albanyga,0.11434977578475335,0.004484304932735426,0.04932735426008968,,1052.0,13.0,Albany,albanyga,georgia,LAUCT130105200000003,10.216666666666667,77546.0,19150.0,55701.0,416.0,187.0,147.0,782.0,377.0,1235.0,1474.0,806.0,6609.0,1430.0,3423.0,915.0,2187.0,550.0,277.0,260.0,27400.0,16000US1301052,albanyga,albanyga,446.0,0.1681614349775785,0.3862463915737971,-0.7017937219730942,1.3250724508683989,208.05555555552945,65.04051443920993,-0.8811659192825112,1.825353155746976
albuquerque,0.2178883658372562,0.04236718224613315,0.16745124411566914,,2000.0,35.0,Albuquerque,albuquerque,new mexico,LAUCT350200000000003,6.625,551597.0,382530.0,18424.0,1725.0,1272.0,3256.0,2284.0,2567.0,2817.0,2767.0,3714.0,39488.0,9471.0,31894.0,12323.0,32587.0,16381.0,5052.0,5358.0,46060.0,16000US3502000,albuquerque,albuquerque,1487.0,0.4277067921990585,0.6300988408446576,0.0484196368527236,2.3900469068174703,236.65972222222683,323.71714974599485,0.21587088096839274,6.025277923548042
alexandria,0.036842105263157884,0.018421052631578942,0.03157894736842105,,975.0,22.0,Alexandria,alexandria,louisiana,LAUCT220097500000003,6.9833333333333325,48217.0,17182.0,29399.0,468.0,23.0,206.0,696.0,289.0,439.0,520.0,163.0,4978.0,613.0,2257.0,410.0,1796.0,438.0,408.0,240.0,35001.0,16000US2200975,alexandria,alexandria,380.0,0.0868421052631579,0.3001064478092137,-0.7894736842105263,1.1838378342388407,164.64285714285714,81.7357859553913,-0.3,5.116531229317425
allentown,0.08575478384124734,0.041814316087880936,0.09284195605953224,,2000.0,42.0,Allentown,allentown,pennsylvania,LAUCT420200000000003,10.1,118587.0,78789.0,14823.0,535.0,425.0,615.0,1148.0,1049.0,1653.0,1948.0,1086.0,12265.0,1620.0,3677.0,2152.0,3412.0,1272.0,578.0,431.0,34289.0,16000US4202000,allentown,allentown,1411.0,0.22041105598866054,0.4707412003656044,-0.44011339475549255,1.7800489239146415,780.3133608815373,1853.4071897449426,0.050673281360737066,5.1453777963273115
altoona,0.05899705014749264,0.008849557522123894,0.02654867256637168,,2184.0,42.0,Altoona,altoona,pennsylvania,LAUCT420218400000003,7.175000000000002,46239.0,43098.0,,132.0,0.0,1.0,176.0,181.0,276.0,691.0,156.0,7567.0,953.0,1330.0,984.0,1748.0,425.0,165.0,74.0,35572.0,16000US4202184,altoona,altoona,339.0,0.0943952802359882,0.3123652421040141,-0.8200589970501475,1.1040854723420923,400.25,434.85262173704206,-0.7964601769911505,2.1572471446804418
amarillo,0.028595458368376788,0.009251471825063078,0.07485281749369217,,3000.0,48.0,Amarillo,amarillo,texas,LAUCT480300000000003,4.608333333333333,193429.0,160259.0,13181.0,965.0,580.0,1634.0,1673.0,1613.0,1363.0,1504.0,1013.0,15291.0,5212.0,10522.0,4232.0,8753.0,2726.0,1100.0,636.0,45350.0,16000US4803000,amarillo,amarillo,1189.0,0.11269974768713205,0.33446554407996043,-0.5449957947855341,1.6393834363348627,223.06372549020588,192.34051075794758,-0.7451640033641715,2.713258488813895
